Classifier,question,Description,File Types,Languages,Contextual Summary and Keyword Highlighting Summary,Notes
Adult Racy and Gory Images,How can {} be identified?,"Detects images that are potentially inappropriate. Scanning and detection are supported for Exchange Online email messages, and Microsoft Teams channels and chats.",".jpeg, .png, .gif, .bmp",N/A,N/A,Images must be between 100KB and 4MB in size and greater than 50x50 pixels in height x width dimensions.
Agreements,How {} documents can be identified?,"Detects content related to legal agreements such as nondisclosure agreements, statements of work, loan and lease agreements, employment and noncompete agreements.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml",English,Yes,-
Bank Statement,How {} documents can be identified?,"Detects items that contain a financial transaction of a bank account including account information, deposits, withdrawals, account balance, interest accrued, and bank charges within a given period.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt",English,Yes,-
Budget,How {} documents can be identified?,"Detects budget documents, budget forecasts, and current budget statements including income and expenses of an organization.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .xlsx, .xlsm, .xlsb, .xls, .csv, .xltx, .xltm, .xlt, .xlam, .xla",English,Yes,-
Business Context Preview,How {} documents can be identified?,"Detects the presence of business-related content such as organizational structure, policy updates, contracts, HR policies, crucial financial data such as revenue and profits, healthcare forms, employee contracts, etc.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .txt",English,N.A.,-
Business Plan,How {} documents can be identified?,"Detects components of a business plan including business opportunity, plan of achieving the outcomes, market study, and competitor analysis.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa",English,No,-
Completion Certificates,How {} documents can be identified?,Detects official documents that are issued at the end of a project or work by a project manager or a contractor. This document is used to testify that work on a particular project has been completed as per a contract or an agreement.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt",English,Yes,-
Construction Specifications,How {} documents can be identified?,"Detects construction specifications for commercial and industrial projects like factories, plants, commercial offices, airports, roads. Captures guidelines on the quality, quantity, types of building material, processes, etc.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa",English,Yes,-
Corporate Sabotage,How {} documents or messages can be identified?,Detects messages that may mention acts to damage or destroy corporate assets or property. This classifier can help customers manage regulatory compliance obligations such as NERC Critical Infrastructure Protection standards or state by state regulations like Chapter 9.05 RCW in Washington state.,".msg, .docx, .pdf, .txt, .rtf, .jpeg, .jpg, .png, .gif, .bmp, .svg",English,Yes,"This classifier may capture a large volume of bulk sender/newsletter content. In Communication Compliance, you can mitigate the detection of large volumes of bulk sender/newsletter content by selecting the Filter email blasts checkbox when you create the policy. You can also edit an existing Communication Compliance policy to turn on this feature."
Customer Complaints,How {} documents can be identified?,"The customer complaints classifier detects feedback and complaints made about your organizations products or services. This classifier can help you meet regulatory requirements on the detection and triage of complaints, like the Consumer Financial Protection Bureau and Food and Drug Administration requirements.",".msg, .eml, .docx, .pdf, .txt, .rtf, .jpg, .jpeg, .png, .gif, .bmp, .svg",English,No,-
Discrimination,How can {} be identified in documents?,Detects explicit discriminatory language and is sensitive to discriminatory language against the African American/Black communities when compared to other communities. This applies to Communications Compliance; its a text-based classifier.,N/A,English,Yes,-
Employee Disciplinary Action,How {} documents can be identified?,"Detects files relating to disciplinary action including a reprimand or corrective action in response to employee misconduct, rule violation, or poor performance.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml",English,Yes,-
Employee Insurance,How {} documents can be identified?,Detects documents pertaining to employee medical insurance and workplace disability insurance.,".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .msg, .eml, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa",English,Yes,-
Employment Agreement,How {} documents can be identified?,"Detects employment agreement containing details like the starting date, salary, compensation, duties of employment.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt",English,Yes,-
Employee Pension Records,How {} documents can be identified?,"Detects documents that are related to employees pension records such as claim forms, declaration forms, schemes, and benefit statement.",".docx, .docm, .doc, .dotx, .dotm, .dot, .pdf, .rtf, .txt, .one, .pptx, .pptm, .ppt, .potx, .potm, .pot, .ppsx, .ppsm, .pps, .ppam, .ppa, .txt, .one, .msg, .eml",English,Yes,-
